"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789015301084090654","Fri May 10 19:31:00 +0000 2024","0","lelah menggunakan linux user ini akan berganti ke windows ghost spectre","1789015301084090654","","","in","Somewhere in the universe","0","0","0","https://twitter.com/de4rlilith/status/1789015301084090654","950393703851483136","de4rlilith"
"1788997496620056611","Fri May 10 18:20:15 +0000 2024","0","Red hat linux ilang nihBeneran buat dari awal lagiMana file hgfs nya yg udh di export gamuncul ","1788997496620056611","","","in","Yogyakarta, Indonesia","0","3","0","https://twitter.com/felsicardi/status/1788997496620056611","1317852472862416898","felsicardi"
"1788978906965352473","Fri May 10 17:06:23 +0000 2024","0","senegal mo dakeu si rew yeup","1788978906965352473","","","in","Secret place ","0","0","0","https://twitter.com/Boo_linux/status/1788978906965352473","1716793568394719232","Boo_linux"
"1788972016994779269","Fri May 10 16:39:01 +0000 2024","0","Data Analysis using SQL https://t.co/ku1MKxnzZf #ML #DataScience #BigData #Analytics #AI #PyTorch #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #Flutter #Jupyter #100DaysofCode #NLP #opensource #developer","1788972016994779269","","","in","Mumbai, India","0","0","0","https://twitter.com/bigdata_engnr/status/1788972016994779269","4375073113","bigdata_engnr"
"1788968049070182768","Fri May 10 16:23:14 +0000 2024","0","lu pacaran aja sm linux","1788968049070182768","","","in","Tasikmalaya, Jawa Barat","0","0","0","https://twitter.com/bibinajalah/status/1788968049070182768","1203508810402299904","bibinajalah"
"1788932717310063066","Fri May 10 16:16:11 +0000 2024","4","@ValerieVees @Max_DesignPro @aangloadam @AsinEyad @mintissus @SonofOdjor @MiddleColour @Pomapelo @Gt2Tl @Lenin @Linux @Poland @taylorswift13 @X @3gfrie @mushroomfromgd gegagedi","1788966270924206484","","ValerieVees","in","Land of Copper and Frogs","0","0","0","https://twitter.com/IllagersBane/status/1788966270924206484","1539596863766089729","IllagersBane"
"1735709361027289387","Fri May 10 15:12:47 +0000 2024","0","@Huzaifa_X_Malik Linux raspberry pi","1788950316550860939","","Huzaifa_X_Malik","in","Cyber","0","0","0","https://twitter.com/cybercmdr/status/1788950316550860939","372002160","cybercmdr"
"1788946289658380598","Fri May 10 14:58:44 +0000 2024","1","@JwKusu1 Kunguni","1788946781125890233","","JwKusu1","in","","0","1","1","https://twitter.com/Linux_Ge/status/1788946781125890233","1691352458868436992","Linux_Ge"
"1788645527728554431","Fri May 10 14:41:34 +0000 2024","0","@gooddayfreze__ dipakein linux WKWK","1788942463916470749","","gooddayfreze__","in","my bf hearts","0","0","0","https://twitter.com/mushro00/status/1788942463916470749","1303578948178124802","mushro00"
"1788939586258788512","Fri May 10 14:30:08 +0000 2024","0","Grow Bonsai Tree in Ubuntu Terminal with Cbonsai #linux #cbonsai #cli #ubuntu https://t.co/zE3Mxt7DDi https://t.co/7BBZBvLnd6","1788939586258788512","https://pbs.twimg.com/media/GNOXEoLXcAA_fKv.jpg","","in","","0","0","0","https://twitter.com/connectwww/status/1788939586258788512","158710673","connectwww"
"1788916806301663402","Fri May 10 14:10:55 +0000 2024","1","@_owula Oh kakra wc mu ","1788934747239899478","","_owula","in","Ghana","0","1","0","https://twitter.com/that_fine_gen/status/1788934747239899478","995333032172249089","that_fine_gen"
"1788909169430724764","Fri May 10 12:29:16 +0000 2024","0","Ubuntu 24.04 . . #ubuntu #linux #kalilinux #o #coding #programming #debian #python #programmer #hacking #windows #cybersecurity #hacker #love #linuxmint #coder #raspberrypi #like #java #africa #linuxuser #amor #archlinux #javascript #hack #ethicalhacking #computerscience https://t.co/vEumido56x","1788909169430724764","https://pbs.twimg.com/media/GNN7ZzkWgAA40Yd.jpg","","in","","0","0","0","https://twitter.com/TrickyEnough1/status/1788909169430724764","1504376660212477955","TrickyEnough1"
"1788889278904438974","Fri May 10 11:10:14 +0000 2024","1","bhai saari commands linux mai hi karwao v good","1788889278904438974","","","in","New Delhi, India","0","0","0","https://twitter.com/AMAAANMAJID/status/1788889278904438974","1376987668131672065","AMAAANMAJID"
